entry,date,n_month,month,text
1,Mon January 1,01/1912,January,1912. She is 57 Very dreary morning..and up rather late. Two good letters from Etta and Ern. Went out for short run and then wrote much.. Ros called up and I went in to 24 to goose. Just the females of fam and very jolly but still no mention of xmas. So queer. Talked of the Dekay party in eve and how near I came to NOT doing it. .. F and Olivia played VERY well and then I went home and slpt . Up late to go to Birkheads . Out so sorry Then to Mrs Vans also out alas. Wound up at Rumsey's and had charming visit talking to both. Stayed late and went in to 24 to syp. Was by fire with H when Rodman came in .. In hall as D descended with the necklac all came out. FUROR. They could not believe they had not done it.  Too funny . and all was well of course.   Aunt Julia came in and Ros and I decided to go to DeKays.  Carriage for ten clk and my treat R Chumley Jones went with. . I wore scarlet .. Crush of crowds of interesting people. Many int to me and the greates time. Dunn was there so beautiful and charming. It was a GIFT to meet him again and such meting . AND J. Wilkie. wonderful. and standing  near . . I am afraid of him... Augustus Thomas. was one . I felt almost too free and happy among admiring eyes and bending over heads.   This should not happen often I should deceive myself and think I could have it and that it was not too late for EYES. Home feelin very happy.
2,Tues January 2,01/1912,January,Woke full of the ones I had met so nearly last night with a consciousness of what dearth there is of contacts I desire This must be I suppose.   Wrote and went out .. short run . Scanty lunch here and rest . Then down to Susan and Madge Huntington's studio in S Wash Sq. How reminding of old days. Fine place and very artificial lly brutal work .. Some how right though as decoration . Jolly talk with Jonas Lie who was there. Hardly anyone else. Walked up and seemed short . Left card on Miss Bigelow and Mrs Guerin. out alas. Dear box from Terence with misteltoe and sprig of holly. D came in as I wrote and stayed to din rather provoking queerly impertinent.   I read A.P.A's James book .. Thoma Davidson. ..
3,Wed January 3,01/1912,January,"Went out early shopped and wrote . Queer days these but I need the rest and it is good for a while. Was ready at four for F. Rumsey but she did not come till half past. So queer to be waiting for such things. Were having tea when Fitchie came and stayed after F R went. Talk with R about Joanna of course always. Persuaded Fitchie to go with me to the French's to see his Lincoln now on view. Walked down and found crowd at 5.30. Was tremendously impressed. It is MY Lincoln and I think all who care for him will feel it. It is ordingary plastically. but great in conception and feeling. for the PERSON. Saw many people of course Met Tracy going out . and shall not have him here He returns next winter. Dr Valentino .. The Johnsons and many others. At last caught sight of John Wilkie coming in and that was the end of the other people. He told me that his adoratio n of Lincoln when he was a boy was so great that he called himself after him. D was there and I had a chance to tell it Mr French what I thought of IT. He seemd pleased. J L, W. walked all the way with us. I like him always better. Makes me think sometimes of LANGLEY. The same deepsouled strength. Dined here and sat alone eve. Willing to and almost happy."
4,Thurs January 4,01/1912,January,About the same morning to begin with but got at the pictures and lengthened Mrs Clement's dress and did quite a little on Helena.  Getting them ready for the afternoon.  Short rest and getting ready for the Emmet visit.  Ran out to get cakes and air and found Lydia and Mr Von Gleyn here at 3:30. Very nice time showing things and having them appreciated.  So seldom for me.  Mrs de Raasloff came while they were here but no one else tioo later.  Then K Ludington and Miss Daland Mrs. Elliots girl friend.  Later Mr. Tucker and A Ludington.  A good deal of good talk but I had to listen a good deal to the girl and missed some.  A brought photos of the drawings pretty good. Stayed till after six and then I dressed and went to Birkheads.  Only old Mrs. Vail and rather a queer evening which left a depressing memory.  I am to do him on Tues next a drawing.  Very bad night bad prepfor Phila early train.  Wrote dangerous letter to that bully John K Lewis.
5,Fri January 5,01/1912,January,Anna got me up early. Very cold and hard. I went in cars to station a foolish economy probably. Got 8 train and pretty good trip reading over and writing Miss Erskine's interview. Quite a work to do and could not finish. Nuisance. Class not very large but pretty interesting. Saw Trask and found out dates for Jury at last. and then came deaV H McCarter. Looking older and white but o how nice. He is a jewel and an uplifter. H Thouron met too and a nervous moment How sad that there should be no pleasure in seeing him when he is such a dear and valued friend. We went to a he hectic place to lunc but most fascinating by way of a florists. I had to let him order and pay though it went against the grain. He enjoyed it so. We had a WONDERFUL time talked so fast and so long and so happily. Had so much to tell. Itvwas over too soon. A Horrible cold day and we ran between the acts. I to N Y. in four train. and home in cars. Awfully cold. SO nice to get here and get into comf things and read mail etc. Din here and the young poet I met the other night came and xspoke. Eve alone.
6,Sat January 6,01/1912,January,Terribly cold day. Went out for only short time .. Did lots of writing.. Lunch here and expecting H and S who came at three 3.. H not looking well and with a horrid cold but how wonderful Mrs Gold .. called wanting to come but I put off We were just going it to 24 when Mrs Reynolds came .. Found Helena and Ros later D. and Phil came too. After advice went to Guffantis on 7 ave for Iour din and had gay time in com place but jolly. Then to Coronation moving pictures .. which they enjoyed much and I of course .. They to Irving Hotel next to 24 Phil called up from club at 2.30 and I had to get up in intense cold .. Fortunately not to go down. Child looked lovely in evening dress but evidently had not caroused.. Put him in little room. Harry
7,Sun January 7,01/1912,January,"Phil sleeping Anna and I creeping about.. Very little water. Got at the interview and was at it when H ans came at ten.30 Hotel not clean but H's cold seemed better. Sat by fire and talked much . About Art origin..  Lunch here and soon off to see their pic at AmSoc. Many people looked at H . Could not see Sophie in hat and feathers.  After to Met Mus and then to  see Kate and Tom nice visit. Din here not bad and then only short time before the Best Beloved ha dto go.. in 8.30 train. I wrote and S lay on sofa and read.. She slept in little room .    Woke in night thinking of H ..  It is terrible to feel as I do to him I cannot BEAR anything to touch him .. nor to have the  least thing the matter . with his health , He is better of his cold."
8,Mon January 8,01/1912,January,Sophie had to go early but we had cosy break by fire Very cold Then I wrote much of interview and got it off and other letters.. Jack comes soon. good.  Could not all day get over   absorption in H or find myself at all .. After lunch went right out . Very cold .. and to Macbeth's where I saw F's portrait  with box ..  looking fine ..Macbeth very flatteur and said i it had been immensely admired.   Walked down and stopped inat ant shops .. Bought some glass.  Met F and found Crawford one of my old pupils had called up and wanted to come ..  went in to 24 and after talk with H went up to see D in bed and heard all about the Welldons withwhom she had lunched. Very interesting. Back and soon Crawford . Wanted to propose my joining prospective society of portraitpainters . Flattering but but pretty second rate lot.  Might be amusing in some ways but hesitate to decide at once . Nice talk with him and tea.  Very cosy . Din hhere and slept all eve after reading some.
9,Tues January 9,01/1912,January,Getting ready for Birkhead and he cam punctually. Awfully nice and so vital.  Did not do very well though  Too much talk. and shall try another go at it.  He told me some surprising things. ..one that he would not be in St Georges another year.  This is REGRETTABLE.  Rest and reading .. and in eve to G's.
10,Wed January 11,01/1912,January,Wrote and did such like things.  and cant remember. more. Jack and great time. Din together at Guffantis and walk to see fire.  Delightful to have him.
